session_id,customer_id,page_views,session_duration,source,visit_date
b2d3812e-5233-40e3-b28f-e0c417c545af,938,3,81,Referral,2024-02-08
3cdef8e2-017e-4648-b7b0-2bc92fb5e5a8,211,8,269,Referral,2024-04-13
b00778e5-9d2c-4185-aa1f-0081f4112649,477,6,116,Direct,2024-01-04
30f5c50b-1176-430f-b871-80e68d9e33e0,93,10,262,Organic,2024-04-04
271299c6-c3a7-439b-894a-83e03b0718ac,299,3,277,Referral,2024-03-04
782dcc73-17da-4054-8c5b-5fc8fedc74e7,846,1,203,Referral,2024-03-17
12b67183-e187-458c-8069-6d4f7e135488,706,1,136,Social,2024-03-09
7e6183e5-67d7-41cb-bb74-5d808cd38040,300,7,181,Social,2024-03-13
e61ec36f-545f-462f-908e-39da93641160,571,7,132,Organic,2024-04-24
1884a182-1bed-4d33-90ec-666f359857cc,584,3,191,Social,2024-02-08
59a0759d-b449-4b84-adc6-43b8fefdaf16,244,2,150,Social,2024-04-23
0dce6e5f-22ff-42b2-9d9d-7e583b5be7c3,470,3,249,Direct,2024-01-07
30aba21c-10fc-416e-b69a-ec22b18661fd,308,7,130,Referral,2024-01-30
8a58e8a2-482d-4126-90c2-d9de590341bf,775,2,225,Direct,2024-04-07
300e0869-c7e1-4d37-a228-bfe5d474bbaf,174,4,204,Organic,2024-04-05
d1d50fbf-69a1-4d50-bf13-47c81a81b75e,806,1,285,Direct,2024-02-27
c1ba06ae-6edf-4b73-901e-af63a0e0e1e3,8,1,176,Direct,2024-03-03
84f3dc6e-aed9-4a99-918d-3660322e9a40,164,1,146,Social,2024-02-11
952ad257-6f29-47f0-907b-99af19b1773c,438,10,227,Social,2024-03-21
16ea0271-7d24-425b-b6a7-6dde283659a9,702,5,38,Organic,2024-03-13
f9a414e9-2c5c-4d6b-96bd-0bf1fac5be0b,738,7,118,Direct,2024-04-24
9dd12521-25c6-4cd8-95f3-479fdfd288d7,568,1,130,Direct,2024-04-29
3d5e5f18-0505-4374-bfac-64f51c0278d8,537,9,208,Social,2024-02-02
c564d157-c5ea-4282-96e1-547db52b4cd6,783,5,69,Direct,2024-04-09
513d69f4-04c3-479d-806b-fd77058b53ac,813,10,65,Social,2024-03-04
6679b346-644f-4c12-aa98-e045fd397a5c,293,8,249,Social,2024-03-25
c6f4d2da-ddc4-4248-a72f-625ab8fd596a,29,3,171,Direct,2024-03-22
aff83a99-3c1f-482f-90e9-12fa041a59f9,132,9,288,Referral,2024-04-15
465efc50-759f-4838-a6db-641793e9f619,400,6,98,Organic,2024-01-23
7e67155f-7ff8-48f6-b91c-86730386bc62,177,8,40,Social,2024-03-08
121af22d-0ec0-4439-a783-9935e8d84b69,170,5,36,Social,2024-03-23
d3d21f96-ea67-4675-a6e4-5c944f60f359,630,9,39,Social,2024-01-04
c5a7603c-68c5-4b5b-b2a1-84a91b33db6a,439,7,166,Social,2024-02-28
c5730e07-b2cd-4e84-8b50-8e609359cf8e,986,2,177,Organic,2024-03-15
99c64d38-1e90-4172-9a75-43c49ecb85ea,821,5,239,Referral,2024-01-02
fad32211-b857-4718-a4a2-4cdee9126815,473,1,213,Referral,2024-04-25
ee2f76aa-4490-4548-95fe-f662d371585e,106,9,31,Direct,2024-01-07
5b6e82c9-bad0-4626-bb5c-f1edc7ab102f,412,4,274,Referral,2024-04-12
21906336-5aea-42fa-87f0-a21875d71682,754,6,188,Social,2024-04-24
10c8bdee-70b5-4c38-9e91-fafba01ac765,732,4,100,Direct,2024-03-16
a450acb6-24d1-4ba1-aaaf-0c89b6dbe697,873,3,205,Referral,2024-04-05
5652fea0-36e6-4e2d-8c8f-99f21e37eeb3,878,1,241,Referral,2024-01-18
59e05aa3-0db1-4aab-952d-3452db5b1d15,16,1,90,Direct,2024-01-17
e51d1243-a5ec-4430-a191-98130a0b46aa,223,1,239,Organic,2024-01-03
1e7bf846-1688-4145-b649-e8df3ab90a5c,762,9,66,Social,2024-01-22
b15b9348-fc0e-493f-9c44-5c20d3a7f248,697,6,216,Direct,2024-01-10
dfaafe51-54a1-4e04-9fd0-fbd20bfc8ab9,695,10,267,Direct,2024-03-03
35a9a3fb-8ffe-48da-ba59-5c2e55e9b1f9,132,4,270,Direct,2024-01-31
994aa58f-3784-4c0d-94de-e95c1d8eabed,648,8,134,Organic,2024-04-01
aa88921b-b322-4386-9fd7-cc0fbca6cb10,426,1,63,Social,2024-02-17
8eea2b20-1868-41ea-997a-d664e14978a0,511,6,218,Social,2024-02-06
fe255f46-f119-41d0-89c2-02642b5962f1,882,3,108,Social,2024-03-25
dd238bff-536a-4e81-a84c-6b23eb5d7eac,263,6,226,Social,2024-02-06
7dc78a53-3f97-4b01-84f7-93487f8195e4,130,10,183,Referral,2024-01-12
df233f0d-4087-4104-8357-b7ec8527f3f5,939,9,264,Organic,2024-02-25
6b236be0-5a33-4569-8a15-9b74f4c12835,664,5,59,Direct,2024-04-14
bab91bad-6de2-4ee5-9471-45c8fed7d605,218,6,107,Organic,2024-01-16
eb006540-eacc-43ac-9989-21f56b80b3d7,394,8,63,Referral,2024-03-24
d05e7593-c715-4502-9965-5c1761264d4d,233,10,79,Direct,2024-04-27
79c0eca7-33ca-4836-9af7-a8418f16b84c,357,1,122,Organic,2024-02-11
be5c3442-0e51-4d1c-bd51-e07a8992bebd,326,7,180,Social,2024-03-16
3b4f5c63-14c6-4635-91e3-4a549d31a4da,652,10,51,Social,2024-03-20
1a46120f-ea5e-4726-bbab-b727851bc27b,547,1,115,Organic,2024-01-06
aedbf87a-48af-46b0-9117-05a3993609b9,569,8,260,Referral,2024-01-30
30e1c18b-c400-421d-9fb3-4cb0cbe4c7f1,252,2,74,Direct,2024-01-18
1643a8df-379b-4fd4-a6e7-cff04c0ab45f,189,9,265,Direct,2024-02-04
27dde3d7-6b9d-4851-b8e4-616b3daa8b7d,490,8,90,Organic,2024-01-12
